t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,1.5679917766995963,7.30123178996865,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.6187169321459152,7.315207730581713,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.5858484065921727,7.3506473112101185,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.636694824572717,7.327603707440237,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.8265011146425039,7.141350493865623,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,1.642175691354173,7.329890269074304,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.8119187504591299,7.167760143232101,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,1.6387315345423197,7.34169670839089,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.6377081690432576,7.351419181904596,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.6453647005367618,7.345286916879461,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.6299449972091011,7.361229285266441,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.8875361884942166,7.115289543520692,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,1.6550015363772879,7.357558939760791,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.8411086250811897,7.171566771871496,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,1.6573852630229409,7.371561518488346,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.7012013966912312,7.343659631252808,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.9494186890839416,7.140126319137428,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,1.843739025200625,7.289038265232472,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,1.842524980368018,7.3041130629604,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,1.8829584820896157,7.311523174217432,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,2.0519665160335974,7.15209786566817,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,2.086217188416219,7.141166071065941,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,1.907178327596042,7.338714295434422,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,1.9196806235559203,7.3463695152321895,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.9448177127321236,7.378040309099695,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.9743335545073126,7.350213765416809,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.8772676215912956,7.482966207896986,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.1817476491836256,7.182405544072068,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.0155522130561376,7.350747505358214,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.176016394664159,7.190283904491149,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,1.8506872159243493,7.516022673483912,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.9847968053783411,7.385407697469645,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.979942530303135,7.39333830155176,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.8594234535317868,7.5201617480966805,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.8666015003369205,7.52964753064819,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.2164677327620144,7.191375676678669,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.215771022119302,7.194449263015123,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.0173618594456544,7.3975547487817925,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.0828670785055508,7.35251700854316,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.3716930231858555,7.16645157598998,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,2.280132091042705,7.362535669738205,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.3283995509488404,7.371292919174084,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.3051611318479104,7.3989156004983645,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.338677986794649,7.405310713860621,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.541192625329744,7.204012395326947,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.155256331000677,7.59481862136607,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.192715828735823,7.557929709252399,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.3279654918993042,7.433289360027908,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.156919155051698,7.604828483603553,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.550292470806811,7.212822118402267,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.3535435110555625,7.41527734714988,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.1691994772005856,7.614033866929418,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.3490549429926375,7.443943288250129,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.400269679281741,7.408796206836823,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.5875889001150894,7.224832888607806,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.6538345011371343,7.167820867574494,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,2.483810878162264,7.34103757852015,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,2.4998796559591785,7.347273786196423,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,2.7074695344214676,7.176255547907055,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,2.4856825067987227,7.416519923067154,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,2.7356511320102896,7.185425327224612,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,2.6947985302509583,7.239477431261854,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.620271921359664,7.409818682337572,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.585426220634554,7.453123483161459,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,2.6569999342619237,7.414327262914549,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.6397330434979125,7.44869172045164,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.6887616460278334,7.431745209735963,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.45572062472264,7.687005867104385,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.518960707431668,7.629300947955854,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.9108619353812593,7.244724251013903,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.6940003389458633,7.462368306236001,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.6969689485867248,7.461617149994043,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.444552620360941,7.715484917763288,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.8987960172503593,7.267817212395191,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.4359364962189547,7.735237434666618,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.672636351381615,7.503972910755935,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.715116835194565,7.471688410538509,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.9241074626433976,7.268479699979081,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,3.023945615691164,7.221029687465568,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,3.067245162633247,7.269300535194718,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.94828144496858,7.477698762947916,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.932773681670599,7.517526957610426,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.9796434751570997,7.505118416069025,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.9551594344490395,7.551827040514374,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,2.763594467048428,7.758191641025633,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,3.055865548835288,7.466232432541182,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,2.686142345018969,7.849325945097044,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,2.974360891614939,7.567480417086188,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,2.6529163142113417,7.8979223104354785,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,3.2614912861017205,7.291866316465566,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,2.6550653080421265,7.900781662188101,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,3.2235360454360498,7.334130910626629,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,3.049036835283559,7.508890606355761,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,3.0101383737403777,7.55473474685962,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,3.1046645145771663,7.461035784448452,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,3.0032708612291277,7.58035707248456,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,3.251823565168107,7.341278217020297,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
